candidate,area,tih_coefficient,more_mean,less_mean,more_std,less_std
against,city,0.1514,2.7866,0.6390,2.1753,0.2704
against,suburb,0.0769,1.5134,0.6734,0.3989,0.2092
against,capital,0.1460,2.2558,0.5426,1.0916,0.2616
against,village,0.1268,2.1538,0.6338,1.4600,0.2344
against,town_below100,0.1490,2.6521,0.6216,1.9883,0.2488
against,town_over100,0.1647,2.6280,0.6653,1.6601,0.2025
against,embassy,0.0132,1.5254,0.6357,0.5527,0.3070
cherechen,city,0.0398,2.1677,0.6072,1.3113,0.2594
cherechen,suburb,0.0204,2.0491,0.6051,1.7836,0.2168
cherechen,capital,0.0345,2.6404,0.6814,2.2111,0.1955
cherechen,village,0.0392,2.2126,0.5864,1.5529,0.2083
cherechen,town_below100,0.0405,2.0455,0.6349,1.2737,0.2567
cherechen,town_over100,0.0494,1.9552,0.6937,1.0631,0.2297
cherechen,embassy,0.0040,1.9408,0.6300,0.6773,0.2529
corrupted,city,0.0196,3.2846,0.6028,2.8838,0.2469
corrupted,suburb,0.0146,1.9921,0.7139,0.6641,0.2218
corrupted,capital,0.0386,3.5364,0.3861,2.3174,0.2444
corrupted,village,0.0291,2.7743,0.5940,1.9908,0.2419
corrupted,town_below100,0.0221,3.2501,0.6293,5.5302,0.2446
corrupted,town_over100,0.0378,2.6787,0.5142,2.0637,0.2020
corrupted,embassy,0.0119,2.2595,0.4224,0.2478,0.2841
dmitriyev,city,0.0424,2.0076,0.6643,0.9638,0.2548
dmitriyev,suburb,0.0253,1.9905,0.6630,1.2434,0.2262
dmitriyev,capital,0.0381,2.1201,0.7001,1.2442,0.1976
dmitriyev,village,0.0501,2.0238,0.6412,1.2705,0.2363
dmitriyev,town_below100,0.0460,2.0349,0.6888,1.3475,0.2503
dmitriyev,town_over100,0.0502,2.0319,0.7127,1.3061,0.2081
dmitriyev,embassy,0.0082,2.7554,0.6518,0.7229,0.2036
kanopatskaja,city,0.0326,3.2209,0.6444,3.0792,0.2012
kanopatskaja,suburb,0.0171,2.2875,0.7619,1.8583,0.2076
kanopatskaja,capital,0.0422,3.1359,0.5753,2.1517,0.2160
kanopatskaja,village,0.0435,2.6301,0.6470,1.9776,0.2194
kanopatskaja,town_below100,0.0304,3.0850,0.6544,3.0508,0.2177
kanopatskaja,town_over100,0.0365,2.9681,0.5952,2.5531,0.2352
kanopatskaja,embassy,0.0076,1.9010,0.3113,0.5813,0.0309
